round,image_id,method,hfs_score,processing_time_seconds,output_path,model_name
4,DSC_00381_JPG_jpg.rf.09942160c612c8b95581aed57ee4a9cd,lrp,0.6161927580833435,0.7061524391174316,explanations\yolov8n\incremental_round_4\lrp\DSC_00381_JPG_jpg.rf.09942160c612c8b95581aed57ee4a9cd_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00381_JPG_jpg.rf.09942160c612c8b95581aed57ee4a9cd,shap,0.1992812603712082,1.3062036037445068,explanations\yolov8n\incremental_round_4\shap\DSC_00381_JPG_jpg.rf.09942160c612c8b95581aed57ee4a9cd_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00431_JPG_jpg.rf.93d0b9c39282c55542dee79d874c2bb4,gradcam,0.8288754820823669,0.5953238010406494,explanations\yolov8n\incremental_round_4\gradcam\DSC_00431_JPG_jpg.rf.93d0b9c39282c55542dee79d874c2bb4_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00431_JPG_jpg.rf.93d0b9c39282c55542dee79d874c2bb4,lrp,0.9435367584228516,0.7462294101715088,explanations\yolov8n\incremental_round_4\lrp\DSC_00431_JPG_jpg.rf.93d0b9c39282c55542dee79d874c2bb4_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00431_JPG_jpg.rf.93d0b9c39282c55542dee79d874c2bb4,shap,0.1666480153799057,1.180424690246582,explanations\yolov8n\incremental_round_4\shap\DSC_00431_JPG_jpg.rf.93d0b9c39282c55542dee79d874c2bb4_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00481_JPG_jpg.rf.7ef7c9136bc8d30ec133f42626080903,lrp,0.17139504849910736,0.73398756980896,explanations\yolov8n\incremental_round_4\lrp\DSC_00481_JPG_jpg.rf.7ef7c9136bc8d30ec133f42626080903_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00481_JPG_jpg.rf.7ef7c9136bc8d30ec133f42626080903,shap,0.12933650612831116,1.2191908359527588,explanations\yolov8n\incremental_round_4\shap\DSC_00481_JPG_jpg.rf.7ef7c9136bc8d30ec133f42626080903_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0053_JPG_jpg.rf.6c30b447657685dfb9fcc5e355d30103,gradcam,0.03347655385732651,0.5855941772460938,explanations\yolov8n\incremental_round_4\gradcam\DSC_0053_JPG_jpg.rf.6c30b447657685dfb9fcc5e355d30103_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0053_JPG_jpg.rf.6c30b447657685dfb9fcc5e355d30103,lrp,0.3269067406654358,0.7162811756134033,explanations\yolov8n\incremental_round_4\lrp\DSC_0053_JPG_jpg.rf.6c30b447657685dfb9fcc5e355d30103_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0053_JPG_jpg.rf.6c30b447657685dfb9fcc5e355d30103,shap,0.16998037695884705,1.2979974746704102,explanations\yolov8n\incremental_round_4\shap\DSC_0053_JPG_jpg.rf.6c30b447657685dfb9fcc5e355d30103_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
