config,phase,round,training_set_size,verified_samples_added,training_time_seconds,validation_time_seconds,actual_stopped_epoch,best_epoch,mAP50,mAP50_95,precision,recall,f1_score,knife_mAP50,pistol_mAP50,knife_precision,pistol_precision,knife_recall,pistol_recall,knife_f1,pistol_f1
yolov8n_pretrained_frozen_backbone,final_test,,,,3322.9,5.69,,,0.8685,0.6,0.8753,0.7945,0.833,0.9093,0.8276,0.8927,0.858,0.8553,0.7338,0.8736,0.7911
yolov8n_pretrained_headonly,round,1,709,0,230.62,9.66,10,,0.5809,0.3317,0.6539,0.5202,0.5794,0.4924,0.6693,0.5758,0.732,0.4696,0.5708,0.5173,0.6414
yolov8n_pretrained_headonly,round,2,2372,1663,526.86,9.78,10,,0.6998,0.4365,0.7364,0.6188,0.6725,0.6852,0.7145,0.7647,0.7081,0.5631,0.6745,0.6486,0.6909
yolov8n_pretrained_headonly,round,3,2696,324,578.59,9.93,10,,0.736,0.471,0.7573,0.6524,0.7009,0.7299,0.742,0.7601,0.7545,0.6332,0.6715,0.6908,0.7106
yolov8n_pretrained_headonly,round,4,2860,164,705.57,10.01,10,,0.7456,0.4827,0.7463,0.6741,0.7084,0.746,0.7452,0.7428,0.7498,0.6752,0.673,0.7074,0.7093
yolov8n_pretrained_headonly,round,5,2929,69,774.97,9.82,10,,0.7625,0.4907,0.7842,0.6757,0.7259,0.7761,0.7488,0.8091,0.7594,0.6682,0.6832,0.7319,0.7193
yolov8n_pretrained_headonly,final_test,,,,2816.61,5.58,,,0.776,0.5045,0.8292,0.6848,0.7501,0.7994,0.7527,0.8672,0.7912,0.6776,0.6921,0.7608,0.7383
yolov8n_random,round,1,709,0,162.81,24.34,10,,0.1967,0.1146,0.7581,0.1591,0.263,0.031,0.3623,1.0,0.5162,0.0,0.3182,0.0,0.3937
yolov8n_random,round,2,1194,485,191.03,25.41,10,,0.298,0.1796,0.4776,0.2758,0.3496,0.1011,0.4949,0.3543,0.6009,0.1077,0.4438,0.1652,0.5105
yolov8n_random,round,3,1573,379,201.94,23.04,10,,0.392,0.2354,0.5382,0.3575,0.4296,0.2201,0.5638,0.3858,0.6907,0.2172,0.4978,0.2779,0.5786
yolov8n_random,round,4,1741,168,224.98,26.19,10,,0.4785,0.2945,0.6462,0.421,0.5098,0.3569,0.6001,0.4956,0.7969,0.3397,0.5022,0.4031,0.6161
yolov8n_random,round,5,2017,276,251.82,23.93,10,,0.534,0.3424,0.7068,0.4632,0.5596,0.4209,0.647,0.63,0.7836,0.366,0.5604,0.463,0.6534
yolov8n_random,final_test,,,,1032.58,20.52,,,0.561,0.35,0.7033,0.4793,0.57,0.4888,0.6333,0.6546,0.752,0.4019,0.5567,0.498,0.6397
yolov8n_random_100ep,round,1,709,0,2062.45,8.83,100,,0.6029,0.3743,0.7287,0.5094,0.5996,0.5119,0.694,0.665,0.7924,0.4393,0.5796,0.529,0.6695
yolov8n_random_100ep,round,2,2357,1648,5077.52,8.53,100,,0.7852,0.5471,0.8495,0.6996,0.7673,0.7717,0.7987,0.8472,0.8518,0.6776,0.7215,0.7529,0.7813
yolov8n_random_100ep,round,3,2854,497,5626.25,8.15,100,,0.8448,0.6034,0.908,0.7437,0.8177,0.852,0.8376,0.9256,0.8903,0.7268,0.7606,0.8143,0.8204
yolov8n_random_100ep,round,4,3019,165,3643.59,7.37,63,,0.8551,0.5989,0.9111,0.7581,0.8276,0.8658,0.8444,0.907,0.9152,0.7746,0.7416,0.8356,0.8193
yolov8n_random_100ep,round,5,3097,78,717.45,7.52,12,,0.8271,0.5658,0.8472,0.7318,0.7853,0.8285,0.8257,0.8713,0.8231,0.7118,0.7518,0.7835,0.7858
yolov8n_random_100ep,final_test,,,,17127.26,4.03,,,0.8427,0.5817,0.9096,0.7338,0.8123,0.8707,0.8146,0.8981,0.921,0.7757,0.6919,0.8324,0.7902
yolo11n_pretrained_100ep,baseline,,3545,,11682.17,,500,,0.9243,0.6633,0.9457,0.8398,0.8896,0.9557,0.893,0,0,0,0,0,0
yolo11n_pretrained,baseline,,3545,,4181.56,,50,,0.924,0.6612,0.9147,0.8511,0.8818,0.9591,0.8889,0,0,0,0,0,0
yolo11n_random_100ep,baseline,,3545,,14839.37,,500,,0.8827,0.6129,0.9053,0.7864,0.8417,0.9147,0.8506,0,0,0,0,0,0
yolo11n_random,baseline,,3545,,4129.67,,50,,0.7879,0.5164,0.839,0.6813,0.752,0.7918,0.784,0,0,0,0,0,0
yolo12n_pretrained_100ep,baseline,,3545,,6302.46,,500,,0.8853,0.617,0.9075,0.8021,0.8515,0.9097,0.8609,0,0,0,0,0,0
yolo12n_pretrained,baseline,,3545,,5358.82,,50,,0.9143,0.6568,0.9077,0.8419,0.8735,0.9389,0.8898,0,0,0,0,0,0
yolo12n_random_100ep,baseline,,3545,,21173.94,,500,,0.863,0.6085,0.883,0.7992,0.839,0.896,0.83,0,0,0,0,0,0
yolo12n_random,baseline,,3545,,5108.54,,50,,0.7251,0.4838,0.8099,0.5971,0.6874,0.7202,0.7301,0,0,0,0,0,0
yolov8n_pretrained_100ep,baseline,,3545,,8098.13,,500,,0.9143,0.6553,0.9108,0.8408,0.8744,0.9417,0.887,0,0,0,0,0,0
yolov8n_pretrained,baseline,,3545,,4069.32,,50,,0.9065,0.6544,0.91,0.8357,0.8712,0.9254,0.8876,0,0,0,0,0,0
yolov8n_random_100ep,baseline,,3545,,11557.41,,500,,0.8663,0.5968,0.9216,0.7686,0.8382,0.9006,0.832,0,0,0,0,0,0
yolov8n_random,baseline,,3545,,3821.75,,50,,0.8286,0.5541,0.8345,0.7545,0.7925,0.8546,0.8027,0,0,0,0,0,0
